#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
10.0%	40	0.020000000000000014	-79749.8910597671	18732.998068254532	-61016.89299151258	250.3816330153424	0	--
20.0%	80	0.04000000000000003	-79833.68624002379	18730.37348737748	-61103.31275264631	250.3465533744017	2.75	0:05
30.0%	120	0.060000000000000046	-79801.20973947337	18729.06666070455	-61072.14307876882	250.3290865815667	2.91	0:04
40.0%	160	0.08000000000000006	-79893.01741749687	18843.181316431375	-61049.83610106549	251.85432102336625	2.96	0:03
50.0%	200	0.10000000000000007	-79904.57032640101	18828.602747787245	-61075.96757861377	251.65946669140916	3	0:02
60.0%	240	0.12000000000000009	-79837.46834630122	18756.45663132975	-61081.011714971464	250.69517563727433	3.02	0:02
70.0%	280	0.1400000000000001	-79910.5203074443	18782.058599515465	-61128.46170792883	251.03736659781308	3.03	0:01
80.0%	320	0.16000000000000011	-79779.50562024674	18627.24828407216	-61152.257336174574	248.9682018305353	3.04	0:01
90.0%	360	0.18000000000000013	-79686.36170886934	18562.272002070218	-61124.089706799125	248.0997413985406	3.05	0:00
100.0%	400	0.20000000000000015	-79845.8457156185	18737.818618909885	-61108.02709670862	250.4460635640844	3.06	0:00
